term,idf_sklearn_default
contact,1.0931759294952232
skip,1.1289601953113726
content,1.1611627478734983
university,1.1640053214788797
student,1.2314504964236477
faculty,1.2347699270946273
philadelphia,1.2593936467789937
school,1.2659235781935878
pa,1.2812129199178925
search,1.3132562142205053
accessibility,1.3203118920743664
rights,1.331599952868722
main,1.3332843723900956
media,1.3343096234183378
resources,1.334375804755225
us,1.3511610490943189
social,1.3882867715730798
home,1.388566208509475
policies,1.3930829438365728
alumni,1.3977964493447244
students,1.4067924370539273
copyright,1.4121790549122506
directory,1.4170195957465
tuportal,1.417055539171553
directions,1.4218836814323295
information,1.4542582331043776
reserved,1.4573220525687485
white,1.457658897828965
program,1.4633650474058197
careers,1.4786151437948807
cherry,1.4937908770145458
programs,1.4955388915214436
maps,1.4989660865261119
tumail,1.4997075933799988
education,1.51386211136739
research,1.5175117504549394
technology,1.535719592550226
news,1.5581482973172645
website,1.564751174237298
linkedin,1.5909229436549772
events,1.5981772840555168
staff,1.6070916189100601
center,1.6122339146360696
international,1.6170076114846723
graduate,1.6205257997303137
link,1.6357071992557568
states,1.6672409342467245
keywords,1.668303216405598
facebook,1.6688116635727142
business,1.683154167871011
united,1.6932893101349804
community,1.7077013944730526
services,1.7112165058329034
admissions,1.721154295160356
time,1.7411820281767794
new,1.7428236154127315
street,1.7763887395338829
apply,1.7867391916131554
instagram,1.8202766624588715
public,1.8225925380058445
professional,1.8405463416224401
law,1.8521971732830402
broad,1.8586606715748002
work,1.859611428057034
menu,1.8714312313372683
undergraduate,1.8751750668974054
life,1.8926027035784934
financial,1.8932390383120241
campus,1.9020737368680307
study,1.9025992996702827
development,1.9089276929924917
college,1.9092216463736023
finance,1.943433463267696
academic,1.948251867881483
email,1.9494141963395073
twitter,1.9503327793368275
history,1.960431387326362
visit,1.9738268089586506
aid,1.9773455056459923
health,1.977786214564889
support,1.9797402635335903
year,1.9879128833828181
legal,1.9907795838648943
department,2.0011682883016846
may,2.016171005158504
also,2.0245161598741124
one,2.0321333518621847
current,2.0493011554845504
scholarship,2.0537074941734295
first,2.0589525591594278
academics,2.062921633007517
request,2.0655993784367137
learning,2.076452144550501
office,2.077773562136809
management,2.0897455607666844
